"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"SEP 2014",3.30,3.60,2.50,3.40,3.90,2.40,3.70,3.50,3.70,3.30,2.80
"DIC 2014",3.30,3.60,2.60,3.30,3.80,2.30,3.50,3.50,4.00,3.30,2.80
"MAR 2015",2.90,3.20,2.30,2.80,3.10,2.20,2.10,3.00,4.40,2.90,2.10
"JUN 2015",2.90,3.20,2.40,2.90,3.00,2.10,2.10,3.10,4.30,2.90,2.00
"SEP 2015",3.00,3.20,2.40,2.90,3.00,2.10,2.30,3.20,4.60,3.00,2.10
"DIC 2015",3.00,3.20,2.40,3.00,3.00,2.20,2.10,3.20,5.40,3.00,2.10
"MAR 2016",2.60,2.90,2.30,2.50,2.10,1.90,2.00,2.70,4.40,2.60,1.90
"JUN 2016",2.70,2.90,2.30,2.60,2.20,1.90,2.00,2.80,5.00,2.70,2.20
"SEP 2016",2.60,2.90,2.30,2.50,2.30,1.90,1.80,2.80,4.90,2.60,2.30
"DIC 2016",2.70,2.90,2.30,2.60,2.20,2.00,1.70,2.90,4.60,2.70,2.30
"MAR 2017",2.30,2.70,2.30,2.10,1.80,1.80,1.30,2.30,3.20,2.30,2.20
"JUN 2017",2.30,2.60,2.40,2.30,1.80,1.90,1.40,2.50,3.20,2.30,2.20
"SEP 2017",2.30,2.50,2.30,2.20,1.90,1.80,1.50,2.40,3.30,2.30,2.20
"DIC 2017",2.40,2.60,2.70,2.20,1.90,1.80,1.50,2.40,3.50,2.40,2.20
"MAR 2018",2.30,2.20,2.20,2.30,1.90,1.60,1.30,2.60,3.10,2.30,2.10
"JUN 2018",2.20,2.30,2.20,2.20,2.00,1.70,1.30,2.40,3.40,2.20,2.10
"SEP 2018",2.20,2.30,2.20,2.10,2.10,1.70,1.20,2.30,3.40,2.20,2.10
"DIC 2018",2.30,2.30,2.50,2.20,2.20,1.80,1.30,2.30,3.60,2.30,2.20
"MAR 2019",2.10,2.00,2.30,2.00,2.50,1.60,1.10,2.10,4.00,2.10,1.60
"JUN 2019",2.00,2.00,2.30,2.00,2.40,1.70,1.20,2.10,3.60,2.00,1.60
"SEP 2019",2.00,1.90,2.30,2.00,2.30,1.70,1.20,2.00,3.60,2.00,1.60
"DIC 2019",2.00,2.00,2.80,2.00,2.50,1.70,1.20,2.00,3.60,2.00,1.80
"MAR 2020",1.70,1.70,2.00,1.70,2.80,1.60,1.40,1.60,3.10,1.70,1.40
"JUN 2020",1.70,1.70,1.70,1.70,2.60,1.60,1.30,1.70,3.00,1.70,1.40
"SEP 2020",1.80,1.70,1.90,1.80,2.20,1.60,1.30,1.90,2.90,1.80,1.40
"DIC 2020",1.80,1.70,1.80,1.80,2.20,1.60,1.30,1.80,2.90,1.80,1.50
"MAR 2021",1.60,1.50,2.20,1.60,2.00,1.40,1.30,1.60,3.00,1.60,1.40
"JUN 2021",1.50,1.40,2.00,1.50,2.00,1.40,1.50,1.50,2.90,1.50,1.60
"SEP 2021",1.60,1.40,2.00,1.60,2.00,1.50,1.50,1.60,3.00,1.60,1.60
"DIC 2021",1.70,1.50,2.20,1.60,2.00,1.50,1.40,1.70,3.20,1.70,1.70
"MAR 2022",1.50,1.00,2.10,1.60,1.90,1.30,1.20,1.70,3.00,1.50,1.20
"JUN 2022",1.60,0.90,1.90,1.70,2.10,1.40,1.30,1.70,2.90,1.60,1.30
"SEP 2022",1.70,0.90,2.10,1.80,2.10,1.40,1.30,1.90,3.20,1.70,1.30
"DIC 2022",1.80,1.00,2.30,2.00,2.40,1.50,1.60,2.10,3.70,1.80,1.60
"MAR 2023",2.30,1.70,3.50,2.30,3.60,2.10,2.40,2.20,3.60,2.30,1.50
"JUN 2023",2.60,1.80,3.70,2.60,3.90,2.20,2.80,2.60,3.80,2.60,1.80
"SEP 2023",2.80,2.00,3.90,2.80,3.90,2.30,3.00,2.80,4.10,2.80,2.20
"DIC 2023",3.00,2.30,4.20,3.00,4.40,2.40,3.20,2.90,4.20,3.00,2.50
"MAR 2024",3.30,2.80,4.60,3.20,5.10,2.60,3.70,3.20,4.30,3.30,2.70
"JUN 2024",3.40,2.70,4.60,3.40,4.80,2.70,4.50,3.30,4.50,3.40,2.90
"SEP 2024",3.40,2.70,4.50,3.30,4.80,2.70,4.50,3.30,4.40,3.40,2.90
"DIC 2024",3.40,2.80,4.40,3.40,4.90,2.70,4.10,3.30,4.50,3.40,2.80
"MAR 2025",2.90,2.60,4.00,2.90,4.40,2.40,4.80,2.70,4.50,2.90,1.80
"JUN 2025",2.90,2.70,3.90,2.80,4.40,2.50,4.30,2.70,4.40,2.90,1.80
"SEP 2025",3.00,2.70,4.00,2.90,4.60,2.40,4.30,2.70,4.40,3.00,1.90
"DIC 2025",3.00,2.70,4.00,3.00,4.60,2.50,4.50,2.80,4.40,3.00,2.00
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
