"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"DIC 2007",4.40,4.10,5.90,4.30,2.90,0.20,34.10,2.90,3.90,4.40,3.20
"MAR 2008",0.30,2.20,2.50,-0.50,4.10,-1.50,17.60,-3.10,-1.10,0.30,-1.10
"JUN 2008",1.80,3.00,3.80,1.30,1.40,-1.20,19.30,-0.10,-0.80,1.80,-0.20
"SEP 2008",1.80,2.80,3.40,1.50,1.70,-0.90,20.10,0.00,-1.10,1.80,0.00
"DIC 2008",2.40,3.20,1.20,2.70,1.10,-1.20,20.00,2.20,-1.10,2.50,-0.90
"MAR 2009",0.50,1.10,-1.90,0.70,3.00,-1.90,21.90,-0.90,-1.00,0.50,-4.00
"JUN 2009",1.50,1.70,-0.90,1.80,1.10,-1.50,22.40,1.10,0.30,1.50,-2.70
"SEP 2009",1.80,2.00,-0.40,2.20,2.10,-1.10,22.60,1.40,0.30,1.90,-1.30
"DIC 2009",2.80,3.20,-0.10,3.30,2.10,-1.20,22.30,3.20,0.70,2.90,-1.20
"MAR 2010",1.30,2.10,-0.50,1.30,5.80,-1.10,21.30,-0.40,0.50,1.30,-0.80
"JUN 2010",2.00,2.00,1.20,2.20,3.70,-0.50,22.30,1.20,1.10,2.00,1.40
"SEP 2010",2.40,2.10,1.20,2.80,4.20,-0.20,23.10,1.90,1.00,2.40,2.30
"DIC 2010",3.10,2.60,1.90,3.60,4.70,-0.20,22.70,3.10,0.70,3.10,1.80
"MAR 2011",0.80,1.40,1.10,0.50,5.10,-1.40,17.30,-0.90,-1.30,0.80,0.10
"JUN 2011",1.30,1.20,1.40,1.30,2.60,-0.70,19.80,0.50,0.30,1.30,0.80
"SEP 2011",1.70,1.60,1.20,1.80,3.90,-0.30,20.60,0.80,1.70,1.70,1.70
"DIC 2011",2.30,1.60,2.00,2.60,4.60,-0.70,19.40,2.20,1.90,2.30,1.20
"MAR 2012",-0.10,1.00,0.90,-0.50,7.40,-1.90,17.70,-2.30,-0.40,-0.10,-0.40
"JUN 2012",0.30,1.20,1.10,0.00,4.10,-1.40,18.50,-1.20,-0.80,0.30,0.70
"SEP 2012",0.70,1.10,2.20,0.40,4.80,-0.70,20.00,-1.00,-0.70,0.70,0.90
"DIC 2012",1.90,2.50,2.00,1.80,4.60,-0.30,19.50,1.00,-0.70,1.90,0.20
"MAR 2013",-0.10,0.50,-1.50,-0.20,3.90,-1.90,18.00,-1.60,1.70,-0.10,1.30
"JUN 2013",0.30,0.70,-1.40,0.30,2.90,-0.90,18.60,-1.00,0.20,0.30,1.80
"SEP 2013",0.50,0.50,-1.00,0.70,3.80,-0.20,19.60,-0.70,-0.80,0.50,1.70
"DIC 2013",2.00,2.50,-0.20,2.20,6.90,-0.60,19.30,1.20,-0.10,2.00,1.60
"MAR 2014",0.00,1.10,0.00,-0.40,3.70,-0.30,11.40,-2.00,1.70,0.00,-0.20
"JUN 2014",0.90,1.50,0.60,0.70,2.60,0.60,11.60,-0.50,1.40,0.90,0.70
"SEP 2014",1.10,1.10,1.30,1.10,4.00,1.00,12.60,-0.20,0.50,1.10,0.60
"DIC 2014",2.10,1.50,0.40,2.40,6.40,0.90,12.70,1.50,1.70,2.10,0.30
"MAR 2015",0.70,0.30,5.10,0.20,6.90,-0.40,12.30,-1.50,3.90,0.70,2.10
"JUN 2015",1.30,0.80,6.20,0.90,6.00,0.70,12.30,-0.60,4.20,1.30,3.70
"SEP 2015",1.40,1.00,6.30,1.00,6.30,1.40,12.80,-0.70,2.30,1.40,4.30
"DIC 2015",2.20,1.80,5.90,2.00,8.60,1.20,13.90,0.50,3.00,2.20,3.40
"MAR 2016",0.50,0.40,3.80,0.00,7.30,-0.10,12.30,-2.00,1.20,0.50,1.70
"JUN 2016",1.60,1.50,5.70,1.10,7.10,1.10,14.50,-0.80,1.30,1.60,4.20
"SEP 2016",2.00,1.70,6.10,1.70,8.00,2.20,15.30,-0.40,1.30,2.00,4.50
"DIC 2016",3.30,2.80,7.10,3.00,11.20,2.20,16.40,1.10,3.50,3.30,4.20
"MAR 2017",0.80,0.20,6.00,0.40,5.80,0.70,13.00,-1.60,-0.30,0.80,2.00
"JUN 2017",1.70,1.30,5.50,1.40,5.80,2.10,14.70,-0.70,1.80,1.70,4.50
"SEP 2017",2.20,1.30,6.00,2.10,9.80,3.00,14.70,-0.50,0.90,2.20,4.90
"DIC 2017",3.60,2.60,7.20,3.50,10.60,2.90,15.60,1.60,3.10,3.60,4.80
"MAR 2018",0.80,2.90,3.30,0.10,6.30,1.40,12.60,-1.90,-0.90,0.80,3.00
"JUN 2018",1.90,2.90,6.00,1.30,7.00,2.90,14.10,-0.80,0.60,1.90,6.50
"SEP 2018",2.40,3.60,6.00,1.80,7.60,3.70,14.50,-0.40,0.70,2.40,6.50
"DIC 2018",4.30,4.00,6.90,4.10,14.20,3.50,14.70,2.10,1.10,4.30,5.80
"MAR 2019",1.10,5.00,3.70,0.20,4.70,1.10,11.70,-1.60,-1.20,1.10,1.30
"JUN 2019",2.00,4.90,3.90,1.40,5.70,3.00,13.20,-0.50,-2.40,2.00,3.70
"SEP 2019",2.40,5.20,3.60,1.90,6.80,3.80,13.70,-0.10,-2.00,2.40,4.60
"DIC 2019",4.80,6.20,4.90,4.60,10.90,3.60,14.90,3.20,0.10,4.80,4.70
"MAR 2020",-0.30,5.20,-4.80,-0.70,-0.50,-1.10,8.60,-1.40,-2.20,-0.30,1.60
"JUN 2020",0.00,4.60,-4.30,-0.30,-0.40,-2.70,7.30,-0.30,-1.30,0.00,2.40
"SEP 2020",0.30,4.60,-3.10,-0.10,1.10,-2.70,7.60,-0.30,-0.60,0.30,2.40
"DIC 2020",2.50,5.50,-0.40,2.30,3.20,-2.70,7.60,2.90,1.90,2.50,2.50
"MAR 2021",0.00,5.20,2.60,-1.10,1.70,-3.80,5.60,-1.40,-0.60,0.00,2.20
"JUN 2021",0.80,4.60,3.70,-0.20,2.80,-2.80,5.90,-0.50,0.00,0.70,3.30
"SEP 2021",1.10,5.10,3.00,0.20,3.90,-1.80,6.00,-0.40,-0.10,1.00,3.80
"DIC 2021",2.30,5.60,3.30,1.60,4.80,-1.40,6.20,1.40,2.00,2.30,3.80
"MAR 2022",0.70,2.50,6.60,-0.30,6.40,-2.40,5.20,-1.40,0.80,0.70,3.80
"JUN 2022",2.00,3.00,12.60,0.60,7.30,-0.80,6.20,-0.50,1.80,2.00,4.60
"SEP 2022",2.40,5.60,8.30,0.90,8.10,0.10,6.60,-0.50,3.10,2.40,4.50
"DIC 2022",3.30,6.60,8.60,1.90,7.60,0.60,8.00,0.80,3.50,3.30,4.60
"MAR 2023",1.70,8.90,4.20,-0.10,3.30,-0.80,5.60,-1.10,-0.70,1.70,4.50
"JUN 2023",1.90,8.00,3.10,0.50,3.50,1.20,5.70,-0.70,0.40,1.90,6.50
"SEP 2023",2.80,8.20,4.30,1.60,5.40,2.00,6.00,0.50,0.20,2.80,5.70
"DIC 2023",3.60,8.10,3.50,2.70,5.60,2.00,6.80,2.00,2.70,3.60,5.60
"MAR 2024",1.00,7.30,4.80,-0.50,2.50,-0.10,7.20,-1.80,-1.40,1.00,2.00
"JUN 2024",1.80,7.30,4.20,0.50,4.10,1.80,6.40,-1.00,0.00,1.80,4.70
"SEP 2024",2.10,8.10,2.30,1.00,5.20,2.60,6.40,-0.50,-0.30,2.10,5.20
"DIC 2024",3.80,7.80,3.10,3.10,7.00,2.60,10.10,2.00,1.10,3.80,4.30
"MAR 2025",0.70,6.30,-0.90,-0.20,6.20,0.40,6.80,-1.90,0.20,0.60,3.30
"JUN 2025",1.80,5.80,-0.20,1.30,7.90,2.60,9.30,-0.70,1.20,1.80,4.90
"SEP 2025",2.20,6.20,0.20,1.80,9.60,3.40,9.70,-0.50,1.40,2.20,5.70
"DIC 2025",3.50,6.70,1.70,3.20,10.20,3.20,9.70,1.50,1.90,3.50,6.40
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
