"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"JUN 2004",3.40,3.00,7.20,2.50,2.90,1.70,22.80,-0.20,9.30,3.30,4.80
"SEP 2004",3.60,2.90,7.10,3.00,5.70,2.50,21.60,0.10,5.30,3.60,3.40
"DIC 2004",4.30,3.50,7.70,3.60,5.80,1.50,20.10,1.40,11.30,4.30,2.80
"MAR 2005",2.60,4.00,5.70,1.50,6.50,-0.10,20.90,-1.80,5.80,2.60,2.70
"JUN 2005",3.80,2.80,7.60,3.10,2.80,1.40,23.30,0.70,9.80,3.80,5.10
"SEP 2005",4.50,4.40,6.90,3.70,4.20,2.30,24.50,1.20,9.70,4.50,3.20
"DIC 2005",5.00,5.10,6.70,4.30,5.20,0.20,18.70,3.40,11.30,5.00,3.10
"MAR 2006",2.90,4.20,5.10,2.00,5.60,-0.40,28.20,-0.70,3.90,2.90,3.50
"JUN 2006",3.60,2.80,6.40,2.90,2.70,0.90,34.20,0.60,8.30,3.50,3.80
"SEP 2006",4.70,5.20,5.70,4.30,4.40,1.20,32.10,2.50,5.90,4.80,4.70
"DIC 2006",4.40,4.10,5.40,4.10,3.10,-0.80,30.40,3.10,8.80,4.50,1.70
"MAR 2007",1.90,3.30,5.10,0.70,5.30,-0.80,31.10,-2.40,3.30,1.90,3.00
"JUN 2007",3.10,2.40,7.40,2.40,1.00,0.20,35.60,0.30,3.90,3.10,4.10
"SEP 2007",2.90,2.80,4.10,2.90,2.20,1.60,36.00,0.40,1.00,2.90,3.50
"DIC 2007",3.60,3.60,3.30,3.60,1.80,-0.40,33.10,2.30,4.70,3.60,2.00
"MAR 2008",0.30,2.20,2.50,-0.50,4.10,-1.50,17.60,-3.10,-1.10,0.30,-1.10
"JUN 2008",1.60,2.60,4.30,1.00,-1.10,-1.10,20.90,-0.30,-1.00,1.60,0.60
"SEP 2008",1.40,2.30,1.50,1.40,1.10,-0.30,21.80,-0.20,-2.30,1.50,0.10
"DIC 2008",0.80,1.70,-7.40,2.10,-1.30,-2.30,18.90,2.20,-2.30,0.80,-4.80
"MAR 2009",0.50,1.10,-1.90,0.70,3.00,-1.90,21.90,-0.90,-1.00,0.50,-4.00
"JUN 2009",1.40,1.20,-0.60,1.70,-0.40,-1.20,22.80,1.20,1.00,1.40,-1.30
"SEP 2009",2.20,2.40,-0.40,2.70,3.30,-0.40,23.00,1.70,0.10,2.20,1.60
"DIC 2009",2.50,2.90,-1.20,3.00,2.00,-1.60,20.60,3.20,1.20,2.60,-1.40
"MAR 2010",1.30,2.10,-0.50,1.30,5.80,-1.10,21.30,-0.40,0.50,1.30,-0.80
"JUN 2010",1.70,1.20,2.00,1.90,1.80,0.00,23.10,1.00,1.30,1.70,3.50
"SEP 2010",2.50,2.20,0.70,2.90,3.30,0.50,24.70,2.00,0.60,2.50,3.20
"DIC 2010",2.20,1.60,1.10,2.90,4.20,-0.40,20.50,2.40,-2.50,2.20,0.00
"MAR 2011",0.80,1.40,1.10,0.50,5.10,-1.40,17.30,-0.90,-1.30,0.80,0.10
"JUN 2011",1.00,0.60,0.90,1.20,0.60,-0.20,21.90,0.30,1.30,1.00,1.40
"SEP 2011",1.60,1.60,0.40,1.90,4.10,0.40,22.00,0.60,1.80,1.60,3.30
"DIC 2011",1.40,0.60,1.40,1.80,4.00,-1.80,15.50,1.80,0.60,1.40,-0.80
"MAR 2012",-0.10,1.00,0.90,-0.50,7.40,-1.90,17.70,-2.30,-0.40,-0.10,-0.40
"JUN 2012",0.00,0.70,0.10,-0.20,1.10,-0.90,19.00,-1.30,-1.50,0.00,1.80
