"FRECUENCIA","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL","TRIMESTRAL"
"MAR 2023",50.70,85.40,48.20,36.80,36.30,33.60,54.20,9.40,13.10,50.90,27.20
"JUN 2023",49.80,83.70,45.10,39.20,36.20,42.80,54.90,10.90,17.30,50.00,30.80
"SEP 2023",51.50,83.50,48.30,41.90,39.00,46.60,56.00,14.00,16.10,51.70,29.80
"DIC 2023",49.90,82.50,45.90,41.10,37.80,46.50,55.10,12.40,17.40,50.10,30.10
"MAR 2024",49.00,81.10,50.50,37.50,36.40,38.10,54.70,4.60,14.10,49.20,25.00
"JUN 2024",50.10,81.10,48.40,40.90,38.60,45.40,55.50,9.60,17.40,50.20,31.90
"SEP 2024",50.20,81.10,43.90,42.60,40.00,48.60,55.80,12.80,16.30,50.30,32.90
"DIC 2024",49.60,80.90,43.70,42.20,39.50,48.20,55.50,12.90,21.30,49.80,31.80
"MAR 2025",46.40,81.40,37.00,38.90,40.50,40.00,55.10,-1.40,20.40,46.60,27.70
"JUN 2025",47.40,80.80,34.50,42.00,41.70,46.90,55.50,6.00,21.60,47.60,31.30
"SEP 2025",49.00,81.10,36.20,44.10,44.70,49.70,55.80,6.20,21.00,49.20,33.60
"DIC 2025",48.90,81.60,37.50,43.40,43.10,50.20,54.90,8.40,21.10,49.00,34.90
"FUENTE","","","","","","","","","","",""
"NOTAS","","","","","","","","","","",""
